trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
72,False,"{'a': 0.5, 'e': 0.9941736665004669}",20,0,-93.94783287987028,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.9940108628603187}",30,0,-20.621085965933837,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.9938458226961485}",30,15,-24.778174180952263,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.9936785463792964}",25,0,-126.72791207290463,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.9935090342861342}",25,0,-127.99459080043988,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.9933372867980641}",30,3,-88.63074478268099,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 2}",1
78,False,"{'a': 0.5, 'e': 0.9931633043015177}",25,0,-48.68359375519577,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.9929870871879556}",35,0,-213.25235241504288,"{0: 20, 1: 3, 2: 8, 3: 1, 4: 3}",0
80,False,"{'a': 0.5, 'e': 0.9928086358538663}",35,0,-72.34649696246606,"{0: 28, 1: 2, 2: 3, 3: 1, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.992627950700765}",20,0,-85.36594796623064,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.9924450321351935}",25,0,-124.3235734208848,"{0: 14, 1: 6, 2: 3, 3: 0, 4: 2}",0
83,False,"{'a': 0.5, 'e': 0.9922598805687185}",25,0,-220.28148383507323,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 4}",0
84,False,"{'a': 0.5, 'e': 0.9920724964179307}",20,0,-92.16857470702995,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.9918828801044445}",30,0,-134.53163025934893,"{0: 19, 1: 3, 2: 4, 3: 3, 4: 1}",0
